date, pm25, pm10
2019/11/7, 110, 30
2019/11/8, 89, 
2019/11/15, 65, 21
2019/11/16, 71, 19
2019/11/17, 65, 18
2019/11/18, 61, 
2019/11/21, 70, 29
2019/11/22, 88, 33
2019/11/23, 99, 31
2019/11/24, 94, 33
2019/11/25, 100, 29
2019/11/26, 91, 28
2019/11/27, 88, 25
2019/11/28, 80, 24
2019/11/29, 79, 29
2019/11/30, 89, 30
2019/12/1, 91, 30
2019/12/2, 91, 28
2019/12/3, 86, 23
2019/12/4, 76, 27
2019/12/5, 85, 29
2019/12/6, 89, 29
2019/12/7, 87, 28
2019/12/8, 84, 27
2019/12/9, 83, 35
2019/12/10, 102, 44
2019/12/11, 124, 49
2019/12/12, 137, 56
2019/12/13, 147, 50
2019/12/14, 138, 50
2019/12/15, 136, 43
2019/12/16, 121, 34
2019/12/17, 101, 36
2019/12/18, 105, 34
2019/12/19, 102, 44
2019/12/20, 126, 37
2019/12/21, 106, 27
2019/12/22, 85, 23
2019/12/23, 74, 28
2019/12/24, 87, 49
2019/12/25, 136, 46
2019/12/26, 132, 58
2019/12/27, 148, 88
2019/12/28, 187, 71
2019/12/29, 169, 
2019/7/1, 29, 20
2019/7/2, 59, 17
2019/7/3, 51, 13
2019/7/4, 42, 8
2019/7/5, 23, 7
2019/7/6, 19, 9
2019/7/7, 26, 12
2019/7/8, 40, 16
2019/7/9, 49, 15
2019/7/10, 47, 10
2019/7/11, 30, 14
2019/7/12, 45, 11
2019/7/13, 35, 8
2019/7/14, 21, 9
2019/7/15, 25, 10
2019/7/16, 35, 9
2019/7/17, 30, 9
2019/7/18, 32, 8
2019/7/19, 28, 10
2019/7/20, 34, 10
2019/7/21, 36, 8
2019/7/22, 20, 8
2019/7/23, 22, 10
2019/7/24, 32, 8
2019/7/25, 21, 10
2019/7/26, 26, 19
2019/7/27, 60, 14
2019/7/28, 45, 8
2019/7/29, 21, 8
2019/7/30, 22, 12
2019/7/31, 37, 12
2019/8/1, 39, 12
2019/8/2, 32, 11
2019/8/3, 23, 16
2019/8/4, 47, 9
2019/8/5, 26, 9
2019/8/6, 25, 11
2019/8/7, 34, 12
2019/8/8, 33, 
2019/8/10, 32, 12
2019/8/11, 40, 15
2019/8/12, 49, 20
2019/8/13, 60, 20
2019/8/14, 59, 20
2019/8/15, 56, 21
2019/8/16, 57, 23
2019/8/17, 60, 17
2019/8/18, 45, 10
2019/8/19, 29, 11
2019/8/20, 30, 11
2019/8/21, 31, 9
2019/8/22, 27, 9
2019/8/23, 26, 7
2019/8/24, 19, 10
2019/8/25, 27, 12
2019/8/26, 39, 15
2019/8/27, 50, 10
2019/8/28, 36, 13
2019/8/29, 44, 15
2019/8/30, 47, 9
2019/8/31, 28, 7
2019/9/1, 15, 7
2019/9/2, 17, 9
2019/9/3, 26, 10
2019/9/4, 28, 12
2019/9/5, 36, 10
2019/9/6, 27, 9
2019/9/7, 23, 11
2019/9/8, 34, 11
2019/9/9, 34, 
2019/9/13, 21, 11
2019/9/14, 30, 17
2019/9/15, 60, 17
2019/9/16, 60, 19
2019/9/17, 65, 16
2019/9/18, 58, 17
2019/9/19, 59, 20
2019/9/20, 65, 23
2019/9/21, 71, 23
2019/9/22, 72, 27
2019/9/23, 84, 37
2019/9/24, 109, 48
2019/9/25, 136, 58
2019/9/26, 156, 
2019/4/6, 176, 67
2019/4/7, 162, 64
2019/4/8, 159, 64
2019/4/9, 162, 78
2019/4/10, 177, 90
2019/4/11, 191, 94
2019/4/12, 197, 83
2019/4/13, 183, 61
2019/4/14, 149, 57
2019/4/15, 146, 59
2019/4/16, 157, 59
2019/4/17, 153, 51
2019/4/18, 145, 55
2019/4/19, 145, 67
2019/4/20, 165, 
2019/4/22, 142, 34
2019/4/23, 102, 43
2019/4/24, 123, 58
2019/4/25, 154, 55
2019/4/26, 152, 54
2019/4/27, 147, 53
2019/4/28, 146, 62
2019/4/29, 158, 59
2019/4/30, 154, 61
2019/5/1, 157, 63
2019/5/2, 161, 72
2019/5/3, 170, 49
2019/5/4, 139, 58
2019/5/5, 152, 58
2019/5/6, 152, 62
2019/5/7, 160, 67
2019/5/8, 164, 56
2019/5/9, 153, 55
2019/5/10, 152, 51
2019/5/11, 144, 38
2019/5/12, 110, 43
2019/5/13, 123, 27
2019/5/14, 84, 27
2019/5/15, 86, 41
2019/5/16, 117, 46
2019/5/17, 131, 47
2019/5/18, 133, 46
2019/5/19, 128, 42
2019/5/20, 119, 39
2019/5/21, 112, 17
2019/5/22, 59, 18
2019/5/23, 61, 31
2019/5/24, 92, 34
2019/5/25, 100, 33
2019/5/26, 97, 28
2019/5/27, 86, 28
2019/5/28, 83, 16
2019/5/29, 60, 
